,stat,precision,recall,f1-score,support,model_accuracy,model
3,macro avg,0.779383754,0.660419035,0.614579368,432,0.652777778,sp_075_thresh_merge_85
4,weighted avg,0.783873327,0.652777778,0.611770662,432,0.652777778,sp_075_thresh_merge_85
0,0,0.526315789,0.995260664,0.68852459,211,0.560185185,sp_075_thresh_merge_90
1,1,0.96969697,0.14479638,0.251968504,221,0.560185185,sp_075_thresh_merge_90
2,accuracy,0.560185185,0.560185185,0.560185185,0.560185185,0.560185185,sp_075_thresh_merge_90
3,macro avg,0.74800638,0.570028522,0.470246547,432,0.560185185,sp_075_thresh_merge_90
4,weighted avg,0.753138106,0.560185185,0.465193815,432,0.560185185,sp_075_thresh_merge_90
0,0,0.5,0.995260664,0.665610143,211,0.511574074,sp_075_thresh_merge_95
1,1,0.916666667,0.049773756,0.094420601,221,0.511574074,sp_075_thresh_merge_95
2,accuracy,0.511574074,0.511574074,0.511574074,0.511574074,0.511574074,sp_075_thresh_merge_95
3,macro avg,0.708333333,0.52251721,0.380015372,432,0.511574074,sp_075_thresh_merge_95
4,weighted avg,0.713155864,0.511574074,0.373404382,432,0.511574074,sp_075_thresh_merge_95
0,0,0.966666667,0.687203791,0.8033241,211,0.835648148,sp_07_thresh_merge_50
1,1,0.765957447,0.977375566,0.858846918,221,0.835648148,sp_07_thresh_merge_50
2,accuracy,0.835648148,0.835648148,0.835648148,0.835648148,0.835648148,sp_07_thresh_merge_50
3,macro avg,0.866312057,0.832289679,0.831085509,432,0.835648148,sp_07_thresh_merge_50
4,weighted avg,0.863989033,0.835648148,0.831728134,432,0.835648148,sp_07_thresh_merge_50
0,0,0.940828402,0.753554502,0.836842105,211,0.856481481,sp_07_thresh_merge_55
1,1,0.802281369,0.954751131,0.871900826,221,0.856481481,sp_07_thresh_merge_55
2,accuracy,0.856481481,0.856481481,0.856481481,0.856481481,0.856481481,sp_07_thresh_merge_55
3,macro avg,0.871554886,0.854152817,0.854371466,432,0.856481481,sp_07_thresh_merge_55
4,weighted avg,0.869951332,0.856481481,0.854777238,432,0.856481481,sp_07_thresh_merge_55
0,0,0.915343915,0.819905213,0.865,211,0.875,sp_07_thresh_merge_60
1,1,0.843621399,0.92760181,0.88362069,221,0.875,sp_07_thresh_merge_60
2,accuracy,0.875,0.875,0.875,0.875,0.875,sp_07_thresh_merge_60
3,macro avg,0.879482657,0.873753512,0.874310345,432,0.875,sp_07_thresh_merge_60
4,weighted avg,0.878652536,0.875,0.874525862,432,0.875,sp_07_thresh_merge_60
0,0,0.894736842,0.886255924,0.89047619,211,0.893518519,sp_07_thresh_merge_65
1,1,0.892376682,0.900452489,0.896396396,221,0.893518519,sp_07_thresh_merge_65
2,accuracy,0.893518519,0.893518519,0.893518519,0.893518519,0.893518519,sp_07_thresh_merge_65
3,macro avg,0.893556762,0.893354206,0.893436293,432,0.893518519,sp_07_thresh_merge_65
4,weighted avg,0.893529445,0.893518519,0.893504814,432,0.893518519,sp_07_thresh_merge_65
0,0,0.846491228,0.914691943,0.879271071,211,0.877314815,sp_07_thresh_merge_70
1,1,0.911764706,0.841628959,0.875294118,221,0.877314815,sp_07_thresh_merge_70
