,stat,precision,recall,f1-score,support,model_accuracy,model
3,macro avg,0.537234043,0.790865385,0.437088086,215,0.595348837,sp_085_thresh_merge_70
4,weighted avg,0.969866403,0.595348837,0.716126779,215,0.595348837,sp_085_thresh_merge_70
0,0,0.058333333,1,0.11023622,7,0.474418605,sp_085_thresh_merge_75
1,1,1,0.456730769,0.627062706,208,0.474418605,sp_085_thresh_merge_75
2,accuracy,0.474418605,0.474418605,0.474418605,0.474418605,0.474418605,sp_085_thresh_merge_75
3,macro avg,0.529166667,0.728365385,0.368649463,215,0.474418605,sp_085_thresh_merge_75
4,weighted avg,0.969341085,0.474418605,0.610235797,215,0.474418605,sp_085_thresh_merge_75
0,0,0.042168675,1,0.080924855,7,0.260465116,sp_085_thresh_merge_80
1,1,1,0.235576923,0.381322957,208,0.260465116,sp_085_thresh_merge_80
2,accuracy,0.260465116,0.260465116,0.260465116,0.260465116,0.260465116,sp_085_thresh_merge_80
3,macro avg,0.521084337,0.617788462,0.231123906,215,0.260465116,sp_085_thresh_merge_80
4,weighted avg,0.968814794,0.260465116,0.371542554,215,0.260465116,sp_085_thresh_merge_80
0,0,0.035175879,1,0.067961165,7,0.106976744,sp_085_thresh_merge_85
1,1,1,0.076923077,0.142857143,208,0.106976744,sp_085_thresh_merge_85
2,accuracy,0.106976744,0.106976744,0.106976744,0.106976744,0.106976744,sp_085_thresh_merge_85
3,macro avg,0.51758794,0.538461538,0.105409154,215,0.106976744,sp_085_thresh_merge_85
4,weighted avg,0.968587122,0.106976744,0.140418669,215,0.106976744,sp_085_thresh_merge_85
0,0,0.03286385,1,0.063636364,7,0.041860465,sp_085_thresh_merge_90
1,1,1,0.009615385,0.019047619,208,0.041860465,sp_085_thresh_merge_90
2,accuracy,0.041860465,0.041860465,0.041860465,0.041860465,0.041860465,sp_085_thresh_merge_90
3,macro avg,0.516431925,0.504807692,0.041341991,215,0.041860465,sp_085_thresh_merge_90
4,weighted avg,0.968511846,0.041860465,0.020499346,215,0.041860465,sp_085_thresh_merge_90
0,0,0.03255814,1,0.063063063,7,0.03255814,sp_085_thresh_merge_95
1,1,0,0,0,208,0.03255814,sp_085_thresh_merge_95
2,accuracy,0.03255814,0.03255814,0.03255814,0.03255814,0.03255814,sp_085_thresh_merge_95
3,macro avg,0.01627907,0.5,0.031531532,215,0.03255814,sp_085_thresh_merge_95
4,weighted avg,0.001060032,0.03255814,0.002053216,215,0.03255814,sp_085_thresh_merge_95
0,0,0.125,0.285714286,0.173913043,7,0.911627907,sp_08_thresh_merge_50
1,1,0.974874372,0.932692308,0.953316953,208,0.911627907,sp_08_thresh_merge_50
